"filename", "language", "JSON", "JavaScript", "Handlebars", "CSS", "Markdown", "Less", "TypeScript", "SCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\contacts-data\contacts.json", "JSON", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 213
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\adminControllers.js", "JavaScript", 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 46, 31, 635
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\authControllers.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 18, 20, 144
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\clearanceControllers.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 207
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\employerControllers.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 242
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\notificationControllers.js", "JavaScript", 0, 748, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 805
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\residentControllers.js", "JavaScript", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 288
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\unitTeamControllers.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 73
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\dbConfig\db.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 46
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\emailUtils\notificationEmail.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 106
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\middleware\authMiddleware.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 23, 19, 110
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\middleware\errorHandling.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 33
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Admin.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 66
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Company.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Employer.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Jobs.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Resident.js", "JavaScript", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 179
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\UnitTeam.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 69
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\adminRoutes.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 13, 33, 157
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\authRoutes.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 45
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\clearanceRoutes.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 51
