"filename", "language", "Handlebars", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\adminControllers.js", "JavaScript", 0, 7, 0, 0, 0, 7
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\clearanceControllers.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\employerControllers.js", "JavaScript", 0, 19, 0, 6, 2, 27
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\residentControllers.js", "JavaScript", 0, 0, 0, -3, 0, -3
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Jobs.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Resident.js", "JavaScript", 0, 4, 0, 0, 0, 4
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-resident.json", "JSON", 0, 0, 20, 0, 0, 20
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\db\companyDB.handlebars", "Handlebars", 0, 0, 0, 0, -3, -3
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\db\residentDB.handlebars", "Handlebars", 1, 0, 0, 0, 0, 1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\employer\jobProfile.handlebars", "Handlebars", 31, 0, 0, 1, 0, 32
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\employer\managePositions.handlebars", "Handlebars", 20, 0, 0, 1, 1, 22
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\partials\residentProfile.handlebars", "Handlebars", 11, 0, 0, 1, 0, 12
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\resident\jobInfo.handlebars", "Handlebars", 7, 0, 0, 1, 0, 8
"Total", "-", 70, 33, 20, 7, 0, 130
