"filename", "language", "JavaScript", "Handlebars", "JSON", "Log", "XML", "CSS", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\addNotes.test.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\approveResume.test.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 127
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\editClearance.test.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 173
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\editResident.test.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 95
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\findNotes.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 60
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\rejectResume.test.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 133
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\requestClearance.test.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 22, 28, 195
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\_tests_\clearanceTests\scheduleInterview.test.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 142
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\adminControllers.js", "JavaScript", 1450, 0, 0, 0, 0, 0, 0, 0, 0, 65, 184, 1699
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\authControllers.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 25, 22, 185
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\classificationControllers.js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 0, 0, 29, 56, 440
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\clearanceControllers.js", "JavaScript", 680, 0, 0, 0, 0, 0, 0, 0, 0, 48, 91, 819
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\employerControllers.js", "JavaScript", 788, 0, 0, 0, 0, 0, 0, 0, 0, 101, 105, 994
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\facility_managementControllers.js", "JavaScript", 342, 0, 0, 0, 0, 0, 0, 0, 0, 34, 55, 431
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\notificationControllers.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 62
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\requestControllers.js", "JavaScript", 301, 0, 0, 0, 0, 0, 0, 0, 0, 28, 48, 377
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\residentControllers.js", "JavaScript", 317, 0, 0, 0, 0, 0, 0, 0, 0, 42, 26, 385
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\sharedControllers.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 134
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\unitTeamControllers.js", "JavaScript", 551, 0, 0, 0, 0, 0, 0, 0, 0, 42, 79, 672
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\cron\interviewCleanup.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 47
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\cron\notificationCleanup.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 26
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\dbConfig\db.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 43, 14, 93
