"filename", "language", "Handlebars", "Log", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\requestControllers.js", "JavaScript", 0, 0, 0, 4, 15, 3, 22
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\controllers\sharedControllers.js", "JavaScript", 0, 0, 0, 25, 8, 8, 41
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\clearanceUtils.js", "JavaScript", 0, 0, 0, -43, -6, -11, -60
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\notificationUtils.js", "JavaScript", 0, 0, 0, 7, 0, 0, 7
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\main.js", "JavaScript", 0, 0, 0, -65, -86, -7, -158
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\logs\.37b9788170b6ccef2496bb2696e95d262bdc235a-audit.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\logs\2025-03-18-app.log", "Log", 0, 21, 0, 0, 0, 1, 22
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\analytics.handlebars", "Handlebars", 0, 0, 0, 0, 0, -3, -3
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\logs.handlebars", "Handlebars", 0, 0, 0, 0, 0, -5, -5
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\profiles\companyProfile.handlebars", "Handlebars", -1, 0, 0, 0, 0, -3, -4
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\profiles\employerProfile.handlebars", "Handlebars", 0, 0, 0, 0, 0, -1, -1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\profiles\facility_managementProfile.handlebars", "Handlebars", 0, 0, 0, 0, 0, -1, -1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\profiles\unitTeamProfile.handlebars", "Handlebars", 0, 0, 0, 0, 0, -1, -1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\views\admin\tables\classification.handlebars", "Handlebars", 0, 0, 0, 0, 0, -1, -1
